character	line
KIRK	Personal log, stardate 3013.1. I find it hard to believe the events of the past twenty four hours or the plea of Mister Spock standing general court-martial.
MENDEZ	How do you plead to the charge of unlawfully taking command?
SPOCK	Guilty.
MENDEZ	Of sabotaging the computers of this vessel and locking it on a course for planet Talos Four?
SPOCK	Guilty.
MENDEZ	And of forcibly attempting to transport Captain Pike to that planet?
SPOCK	Guilty.
KIRK	Why? Why does Spock want to take to that forbidden world his former captain. Mutilated by a recent space disaster, now a shell of a man, unable to speak or move? The only answer Spock would give was on the hearing-room screen. How Spock could do this he refused to explain, but there before our eyes, actual images from thirteen years ago of Captain Pike as he was when he commanded this vessel, of Spock in those days, and of how the Enterprise had become the first and only starship to visit Talos Four. They had received a distress signal from that planet and discovered there, still alive after many years, the survivors of a missing vessel, only to find it was all an illusion. No survivors, no encampment, it was all a trap set by a race of beings who could make a man believe he was seeing anything they wished him to see, and Captain Pike was gone, a prisoner for some unknown purpose.
KIRK	And the images we've been seeing are
SPOCK	Are coming from Talos Four, sir.
MENDEZ	Mister Spock, you're aware of the orders regarding any contact with Talos Four. You have deliberately invited the death penalty.
KIRK	Do you know what you're doing? Have you lost your mind?
SPOCK	Captain, Jim, please. Don't stop me. Don't let him stop me. It's your career and Captain Pike's life. You must see the rest of the transmission.
KIRK	The court-martial of Mister Spock has been convened in closed session. Despite all we can do, images continue to be transmitted to us from Talos Four.
MENDEZ	Starfleet has ordered no contact with Talos Four. They made no exceptions.
SPOCK	You have no choice, sir. I'm sorry. The Keeper has taken over control of our screen. Do you understand, sir? As you saw before, Captain Pike had been knocked unconscious and captured by the Talosians.
PIKE	Can you hear me? My name is Christopher Pike, commander of the space vehicle Enterprise from a stellar group at the other end of this galaxy. Our intentions are peaceful. Can you understand me?
TALOSIAN	It appears, Magistrate, that the intelligence of the specimen is shockingly limited.
MAGISTRATE	This is no surprise since his vessel was baited here so easily with a simulated message. As you can read in its thoughts, it is only now beginning to suspect that the survivors and encampment were a simple illusion we placed in their minds.
PIKE	You're not speaking, yet I hear you.
MAGISTRATE	You will note the confusion as it reads our thought transmissions.
