character	line
SPOCK	Passing outer planet, Zeon.
KIRK	We want the inner one, Ekos. Plot a standard orbit, Mister Chekov, and take us in.
CHEKOV	Aye, sir.
KIRK	Lieutenant Uhura, raise John Gill on Starfleet communications.
UHURA	Aye, aye, sir.
MCCOY	Starfleet's been trying for six months. If he's alive, isn't it unlikely that he'd receive us now?
KIRK	I don't know, Bones. We're here to find out what's happened because I don't know.
SPOCK	I never met John Gill, but I studied Earth history from the text he prepared.
KIRK	I knew him very well. He was my instructor at the Academy.
SPOCK	What impressed me most was his treatment of Earth history as causes and motivations rather than dates and events.
UHURA	Captain, no response on any Starfleet channel.
CHEKOV	Spacecraft approaching from inner planet.
KIRK	From Ekos?
SPOCK	Yes, but it must be a Zeon ship. Zeons do have a crude interplanetary capability. Reaction powered. A small rocket. It is on an intercept course. That would mean it has sophisticated detection devices which neither Zeon nor Ekos should have.
KIRK	Have you raised anyone, Lieutenant?
UHURA	Nothing, sir.
SPOCK	Captain, it's an unmanned probe which seems to be carrying a warhead.
KIRK	Stand by phasers.
CHEKOV	Phasers ready.
KIRK	Range, Mister Chekov?
CHEKOV	Two thousand kilometres, closing fast.
KIRK	Fire.
SPOCK	Fascinating. A thermonuclear warhead.
MCCOY	That's generations ahead of where these people should be technically. How'd they manage that?
KIRK	Maybe they had help. Maximum orbit. Take us out of range of their detection range.
SPOCK	Most interesting. We were attacked by a thermonuclear missile from a planet which should have no such weapon.
CHEKOV	Orbit computed and locked in, sir.
KIRK	Execute.
UHURA	Captain, no response from John Gill on any channel.
MCCOY	He must be dead. And what's going on down there on Ekos?
SPOCK	According to our records, the Ekosians are a primitive, warlike people in a state of anarchy. The other planet, Zeon, has a relatively high technology, and its people are peaceful.
KIRK	We've run into a far more serious problem than the disappearance of John Gill. Spock, you and I will beam down. Bones, one precaution. Prepare a subcutaneous transponder in the event we can't use our communicators.
KIRK	Insert the transponders. Make one low pass to communication range in three hours. If we fail to make contact at the appointed time, take our co-ordinates from the transponder and beam us aboard no matter what our condition may be.
SCOTT	Aye, sir. Whatever your condition.
KIRK	You ready?
SPOCK	Ready, Captain.
